87%,91%,91%,92%,92%,92%,92%,92%,92%,93%,93%,93%,92%,92%,92%,92%,92%,92%,92%,92%,92%,92%,92%,92%,92%,92%,92%,92%,92%,92%,92%,92%,92%,92%,93%,93%,93%,93%,93%,92%,92%,92%,92%,92%,92%,92%,92%,93%,93%,93%
73%,75%,79%,79%,80%,81%,81%,81%,82%,82%,82%,82%,82%,83%,83%,84%,84%,84%,84%,84%,84%,84%,84%,84%,84%,84%,84%,84%,84%,84%,84%,84%,84%,84%,84%,84%,84%,84%,84%,84%,84%,84%,84%,84%,85%,85%,85%,85%,85%,85%
70%,77%,78%,79%,80%,78%,78%,78%,78%,78%,78%,77%,76%,76%,77%,78%,78%,78%,78%,78%,78%,78%,78%,78%,78%,79%,78%,78%,78%,78%,79%,79%,79%,79%,79%,80%,80%,79%,79%,79%,79%,79%,80%,80%,80%,80%,80%,80%,80%,80%
85%,89%,90%,92%,93%,94%,94%,94%,94%,94%,94%,94%,95%,95%,95%,95%,95%,95%,95%,95%,95%,95%,95%,95%,95%,95%,95%,95%,95%,95%,95%,95%,95%,95%,95%,95%,95%,95%,95%,95%,95%,95%,95%,95%,95%,95%,95%,95%,95%,95%
91%,95%,97%,98%,98%,98%,98%,98%,98%,98%,98%,98%,98%,98%,98%,98%,99%,98%,99%,98%,98%,98%,99%,99%,99%,99%,99%,99%,99%,98%,99%,99%,99%,99%,99%,99%,99%,99%,99%,98%,99%,98%,98%,98%,98%,98%,98%,98%,99%,98%
83%,89%,90%,91%,91%,91%,91%,91%,92%,92%,92%,92%,92%,92%,92%,92%,92%,92%,92%,92%,92%,92%,92%,92%,92%,92%,92%,92%,92%,92%,92%,92%,92%,92%,92%,92%,92%,92%,92%,92%,92%,92%,92%,92%,92%,92%,92%,92%,92%,92%
39%,42%,43%,42%,42%,43%,43%,42%,42%,42%,42%,43%,44%,43%,43%,43%,43%,43%,43%,43%,44%,44%,44%,44%,44%,44%,44%,44%,44%,43%,43%,43%,43%,43%,43%,43%,43%,43%,43%,43%,42%,42%,42%,42%,42%,42%,42%,42%,42%,42%
90%,92%,94%,94%,95%,95%,96%,96%,96%,96%,96%,96%,97%,97%,97%,97%,97%,97%,97%,97%,97%,97%,97%,97%,97%,97%,97%,97%,97%,97%,97%,97%,97%,97%,97%,97%,97%,97%,97%,97%,97%,97%,97%,97%,97%,97%,97%,97%,97%,97%
90%,94%,96%,95%,96%,96%,96%,96%,96%,96%,97%,97%,97%,97%,97%,97%,97%,97%,97%,97%,97%,97%,97%,97%,97%,97%,97%,97%,97%,97%,97%,97%,97%,97%,97%,97%,97%,97%,97%,97%,97%,97%,97%,97%,97%,97%,97%,97%,97%,97%
89%,90%,91%,89%,90%,90%,91%,91%,91%,91%,91%,92%,92%,92%,92%,92%,92%,92%,92%,92%,92%,92%,92%,92%,92%,92%,92%,92%,92%,92%,92%,92%,92%,92%,92%,92%,92%,92%,92%,92%,92%,92%,92%,92%,92%,92%,92%,92%,92%,92%
85%,86%,87%,88%,88%,89%,89%,89%,89%,89%,89%,90%,90%,90%,90%,90%,90%,91%,91%,91%,90%,90%,90%,90%,90%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%
62%,60%,59%,60%,62%,60%,60%,60%,60%,61%,61%,61%,61%,62%,62%,63%,62%,62%,62%,62%,62%,62%,62%,62%,62%,62%,62%,63%,63%,63%,63%,63%,63%,63%,63%,63%,63%,63%,63%,63%,63%,64%,64%,64%,64%,64%,64%,64%,64%,64%
87%,91%,91%,91%,91%,92%,92%,92%,93%,93%,93%,93%,93%,93%,93%,93%,94%,94%,94%,94%,94%,94%,94%,94%,94%,94%,94%,94%,94%,94%,94%,94%,94%,94%,94%,94%,94%,94%,94%,94%,94%,94%,94%,94%,94%,94%,94%,94%,94%,93%
91%,95%,96%,97%,97%,98%,98%,98%,98%,98%,98%,98%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%
91%,95%,97%,98%,98%,98%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%
