45%,47%,50%,51%,50%,54%,56%,57%,58%,59%,59%,60%,61%,61%,61%,61%,61%,61%,62%,62%,63%,63%,63%,63%,63%,64%,64%,64%,64%,64%,65%,65%,65%,65%,65%,65%,65%,65%,65%,65%,65%,65%,65%,65%,66%,66%,66%,66%,66%,66%
82%,84%,84%,86%,87%,88%,88%,89%,89%,89%,90%,90%,90%,90%,91%,91%,91%,91%,91%,92%,92%,92%,92%,92%,92%,92%,92%,93%,93%,93%,93%,93%,93%,93%,93%,93%,93%,93%,93%,93%,94%,94%,94%,94%,94%,94%,94%,94%,94%,94%
59%,64%,68%,71%,74%,75%,76%,76%,76%,77%,78%,79%,78%,79%,80%,79%,80%,80%,80%,81%,81%,81%,81%,81%,81%,81%,82%,82%,82%,82%,82%,82%,82%,82%,82%,82%,83%,83%,83%,83%,83%,83%,84%,84%,84%,84%,84%,84%,84%,84%
70%,76%,78%,81%,82%,84%,85%,85%,86%,86%,86%,87%,87%,88%,88%,88%,89%,89%,89%,89%,89%,89%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%
73%,82%,85%,85%,86%,88%,88%,89%,89%,90%,90%,90%,90%,91%,91%,91%,91%,92%,92%,92%,92%,92%,92%,92%,92%,92%,92%,92%,92%,92%,92%,92%,92%,92%,92%,92%,92%,92%,92%,92%,93%,93%,93%,93%,93%,93%,93%,93%,93%,93%
74%,79%,82%,85%,86%,87%,88%,88%,89%,90%,90%,91%,91%,91%,91%,92%,92%,92%,92%,93%,93%,93%,93%,93%,94%,94%,94%,94%,94%,94%,94%,94%,94%,94%,94%,95%,95%,95%,95%,95%,95%,95%,95%,95%,95%,95%,95%,95%,95%,95%
76%,81%,84%,85%,87%,88%,88%,88%,88%,89%,89%,90%,90%,90%,90%,90%,90%,90%,91%,91%,91%,91%,91%,91%,92%,92%,92%,92%,92%,92%,92%,92%,92%,92%,92%,92%,92%,93%,93%,93%,93%,93%,93%,93%,93%,93%,93%,93%,93%,93%
36%,53%,55%,61%,62%,62%,66%,68%,69%,69%,70%,70%,71%,71%,71%,71%,72%,72%,72%,72%,72%,73%,73%,73%,74%,74%,74%,74%,74%,74%,74%,74%,74%,74%,75%,75%,75%,75%,75%,75%,75%,75%,75%,76%,76%,76%,76%,76%,76%,76%
72%,78%,82%,84%,86%,87%,88%,90%,90%,91%,91%,92%,92%,92%,92%,93%,93%,93%,94%,94%,94%,94%,94%,94%,95%,95%,95%,95%,95%,95%,95%,95%,95%,95%,96%,96%,96%,96%,96%,96%,96%,96%,96%,96%,96%,96%,96%,96%,96%,96%
80%,86%,88%,88%,88%,89%,89%,90%,90%,91%,91%,91%,91%,92%,91%,91%,92%,92%,92%,92%,92%,92%,92%,92%,92%,92%,92%,92%,92%,92%,92%,92%,92%,92%,92%,93%,93%,93%,93%,92%,93%,93%,93%,93%,93%,93%,93%,93%,93%,93%
61%,69%,75%,76%,78%,79%,79%,79%,79%,79%,79%,79%,79%,79%,79%,80%,80%,80%,81%,81%,82%,82%,82%,82%,83%,83%,83%,83%,83%,83%,83%,83%,83%,83%,83%,83%,84%,84%,84%,84%,84%,84%,84%,84%,84%,84%,84%,84%,84%,84%
