90%,95%,97%,97%,98%,98%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%
91%,95%,96%,97%,97%,98%,98%,98%,98%,98%,98%,98%,98%,98%,98%,98%,98%,98%,98%,98%,98%,98%,98%,98%,98%,98%,98%,98%,98%,98%,98%,98%,98%,98%,99%,99%,98%,98%,98%,98%,98%,98%,98%,98%,98%,98%,98%,98%,98%,98%
88%,92%,92%,93%,93%,93%,93%,93%,94%,94%,94%,94%,94%,94%,94%,94%,94%,94%,94%,94%,94%,94%,94%,94%,94%,94%,94%,94%,94%,94%,94%,94%,94%,94%,94%,94%,94%,94%,94%,94%,94%,94%,94%,94%,94%,94%,94%,94%,94%,94%
85%,90%,93%,93%,94%,94%,95%,95%,95%,95%,95%,95%,95%,96%,96%,96%,95%,96%,95%,96%,96%,96%,96%,96%,96%,96%,96%,96%,96%,96%,96%,96%,96%,96%,96%,96%,96%,96%,96%,96%,96%,96%,96%,96%,96%,96%,96%,96%,96%,96%
70%,74%,76%,77%,77%,79%,80%,79%,80%,80%,81%,81%,81%,82%,82%,82%,82%,82%,83%,83%,82%,82%,82%,82%,82%,82%,82%,82%,83%,83%,83%,83%,83%,83%,83%,83%,83%,83%,83%,83%,83%,83%,83%,83%,82%,82%,82%,82%,82%,82%
93%,96%,97%,97%,98%,98%,98%,98%,98%,98%,98%,98%,98%,98%,98%,98%,98%,98%,98%,98%,98%,98%,98%,98%,98%,98%,99%,98%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%
77%,78%,81%,81%,82%,82%,82%,83%,83%,84%,85%,85%,85%,85%,85%,85%,85%,85%,85%,86%,85%,85%,86%,86%,86%,86%,86%,86%,86%,86%,86%,86%,86%,86%,86%,86%,86%,86%,86%,86%,86%,86%,86%,86%,86%,86%,87%,87%,86%,86%
91%,95%,96%,97%,98%,98%,98%,98%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%
91%,91%,91%,91%,90%,91%,91%,91%,91%,91%,91%,91%,92%,92%,92%,93%,93%,92%,92%,93%,93%,93%,93%,93%,93%,93%,93%,93%,93%,93%,93%,93%,93%,93%,93%,93%,93%,93%,93%,93%,93%,93%,93%,93%,93%,93%,93%,93%,93%,93%
90%,95%,97%,97%,97%,97%,97%,97%,97%,98%,98%,98%,97%,98%,98%,98%,98%,98%,98%,98%,98%,98%,98%,98%,98%,98%,98%,98%,98%,98%,98%,98%,98%,98%,98%,98%,98%,98%,98%,98%,98%,98%,98%,98%,98%,98%,98%,98%,98%,98%
90%,94%,95%,95%,96%,96%,95%,96%,95%,95%,96%,96%,96%,96%,96%,96%,96%,96%,96%,96%,96%,96%,96%,96%,96%,96%,96%,96%,96%,96%,96%,96%,96%,96%,96%,96%,96%,96%,96%,96%,96%,96%,96%,96%,96%,96%,96%,96%,96%,96%
91%,95%,97%,98%,98%,98%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%
69%,75%,78%,79%,79%,80%,80%,80%,79%,80%,81%,81%,81%,80%,80%,80%,80%,80%,80%,80%,80%,80%,81%,81%,81%,81%,81%,81%,81%,81%,81%,81%,81%,81%,81%,81%,82%,82%,82%,82%,82%,82%,82%,82%,82%,82%,82%,82%,82%,82%
77%,84%,85%,85%,86%,87%,86%,86%,86%,86%,85%,85%,85%,84%,84%,84%,84%,84%,84%,84%,84%,84%,84%,84%,84%,84%,84%,84%,84%,84%,84%,84%,84%,84%,84%,84%,84%,84%,84%,84%,84%,84%,84%,85%,85%,85%,84%,84%,84%,84%
